customer_id,first_name,last_name,email,phone,dob,gender,created_at
81846f3c-eb3b-40fe-9eff-7be17c9d8d99,Nathaniel,Austin,chad08@example.com,(272)253-7546x3226,1971-05-01,Other,2025-03-21 13:25:53
09848ebb-f951-4e51-acfd-e0dee8033222,Bethany,Chavez,hayeskurt@example.net,+1-200-539-9396x254,1993-09-06,Female,2025-03-21 13:25:53
cf90b636-549e-4523-baac-9efb4e82200a,Austin,Villanueva,eric37@example.org,(664)935-2237x31913,1987-08-19,Other,2025-03-21 13:25:53
5e831c7b-b4a9-45f8-8440-1e442f92ae8e,Cynthia,Garcia,robertdorsey@example.net,001-459-401-0117x574,1987-03-30,Male,2025-03-21 13:25:53
ed20a811-edfd-444f-a4ad-5cd60d0bf61e,Mark,Galvan,jperez@example.com,001-541-774-1437x499,1991-12-28,Male,2025-03-21 13:25:53
55a97125-6082-43eb-8e69-b0eb8c686bfa,Trevor,Johnson,johnsontyler@example.com,984-527-7265x4741,1975-11-11,Male,2025-03-21 13:25:53
16324b8f-9db6-434f-818c-78b33de93ff0,Ricky,Cooper,smurray@example.com,(496)225-8654x9089,1978-08-08,Male,2025-03-21 13:25:53
f47453ef-1bf8-4f91-9841-43521c50fa84,Ian,Phillips,morrismichelle@example.net,(431)722-1555x15217,1988-07-13,Other,2025-03-21 13:25:53
dfc555c7-78f7-44db-8530-bbe25cd0c8fc,Patricia,Cruz,apowell@example.net,433-965-0999x576,1990-01-08,Female,2025-03-21 13:25:53
af3fa316-b08f-4731-a463-9ba31a6f6a73,Daniel,Ross,guzmanjohn@example.org,(601)782-0774x387,1969-06-06,Female,2025-03-21 13:25:53
c1434c68-cae5-4efc-a06b-779bb3e0b8a1,Joe,Harrell,cassietran@example.com,+1-887-710-6984x1683,1984-09-26,Male,2025-03-21 13:25:53
1c1439f2-06ac-4e5f-9d9c-b87dbb2a40bb,Franklin,Butler,claudiarice@example.com,5273779224,1982-06-21,Male,2025-03-21 13:25:53
3daab0ba-3710-4dbd-9479-0444d1706973,Robin,Moore,griffinmonica@example.org,001-913-965-8086x827,2006-07-02,Other,2025-03-21 13:25:53
fba33d90-6381-4c00-8451-a882d0b881e5,Steven,Jones,laura74@example.net,618-772-6396x96906,1962-06-17,Male,2025-03-21 13:25:53
1f953b2f-825d-4013-b2d6-7edb20d21d55,Martha,Bailey,williamgardner@example.net,446-993-6563x23417,2003-10-28,Female,2025-03-21 13:25:53
b9205cb4-c554-4b66-9b13-7a91a459b1a7,Kyle,Lopez,clee@example.net,+1-787-414-5379,1963-01-22,Other,2025-03-21 13:25:53
5ec28e38-9bcf-4d70-83ff-ad6e9697876a,Mike,Mendoza,moorekaren@example.com,+1-303-758-1433x984,1993-02-23,Female,2025-03-21 13:25:53
aa965138-f453-40b1-a335-e31f65425c05,Michael,Rodgers,hughesdenise@example.com,545-362-9109x09261,1999-03-12,Female,2025-03-21 13:25:53
cd93ce36-df22-4e8c-b328-48da7b7fdc25,Jennifer,Johnson,ellisandrea@example.net,386-483-5408,1991-04-20,Female,2025-03-21 13:25:53
784cda35-ebbf-4522-b32f-1f19e6c565e5,Jeffrey,Walker,sullivanchristopher@example.com,985-718-1476x18433,1985-11-14,Female,2025-03-21 13:25:53
a6270efb-c6a2-40fe-8bf5-216321a54480,Eric,Smith,arandall@example.net,001-591-604-0663,1960-07-16,Female,2025-03-21 13:25:53
8366325b-4355-43c8-a19a-0893a0825ddf,Brian,Deleon,alanalvarez@example.org,+1-371-486-3907x3320,1983-10-29,Other,2025-03-21 13:25:53
3ed8adbc-ae62-4263-a3a3-a5173add40b5,Nicholas,Dominguez,jonesteresa@example.org,(907)630-3749x2898,1977-08-21,Male,2025-03-21 13:25:53
628a1f47-a6d4-4fdb-901d-0e6aabf7a885,Mark,Gonzalez,lrogers@example.com,219.642.5252x03356,1995-03-11,Male,2025-03-21 13:25:53
574ec8e8-cec8-437b-af3d-ab08a5a954f8,John,Foster,michaelevans@example.net,001-334-992-2885x1309,1974-03-03,Male,2025-03-21 13:25:53
6da8a4eb-afc2-4ec4-b8cc-2c06a06bc66b,Gabrielle,Walters,jsmith@example.net,001-683-640-6212x392,1977-07-05,Male,2025-03-21 13:25:53
ac1fe817-1d3f-4c95-b4f5-02c8c3a8a5eb,Kimberly,Moody,rebekah86@example.com,001-264-355-4306x1415,1996-11-16,Male,2025-03-21 13:25:53
4953b96d-0c90-43d3-bccf-eb8bf05d5727,Jennifer,Miller,hperez@example.net,001-328-375-7498,1964-09-10,Male,2025-03-21 13:25:53
eb507112-8c90-4678-b929-7c959564bc0b,Brian,Mccoy,frazierjoseph@example.org,001-471-362-8835x0788,1999-09-11,Other,2025-03-21 13:25:53
40249d87-181f-417f-88c1-4c27ca3c4177,Phillip,Hoffman,kblanchard@example.net,001-658-212-7875x3046,2001-07-10,Other,2025-03-21 13:25:53
778503c3-e39e-4437-8a73-83b06f33832d,Stephanie,Salinas,christinanelson@example.net,8095895215,1982-01-09,Male,2025-03-21 13:25:53
a3d8aad6-4196-4441-a20f-d473c65dc516,Robert,Williams,kendrabecker@example.org,(277)413-4639x04442,1981-11-24,Other,2025-03-21 13:25:53
81734bff-3b35-41e2-a470-761b3bca70fc,Brian,Murray,sara29@example.com,(228)457-8982x346,2005-10-01,Female,2025-03-21 13:25:53
56768ff0-7299-4472-8021-d71ae7dfeab5,Jonathan,Hernandez,fjohnson@example.net,001-671-286-2623x13438,1990-09-03,Other,2025-03-21 13:25:53
64329c50-1d55-43ad-bbe8-14701184f052,Joe,Meyers,benjamincarter@example.org,715.887.7923,1974-07-01,Female,2025-03-21 13:25:53
